County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
5063,0.48,21,9,0.021390374,0.015420411,0.159790606,0.015177242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,44.44444444,55.55555556,66.66666667,88.88888889,0,0,0,0,0,0,100,100,0,0,11.11111111,33.33333333,33.33333333,44.44444444,55.55555556,66.66666667
5083,0.613333333,41,17,0.042780749,0.065419429,0.11843312,0.064013954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,35.29411765,35.29411765,35.29411765,47.05882353,88.23529412,0,0,0,0,0,0,0,100,0,0,0,17.64705882,35.29411765,35.29411765,35.29411765,70.58823529
5085,0.066666667,57,22,0.056149733,0.002261228,0.04076483,0.020891394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,13.63636364,31.81818182,54.54545455,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,9.090909091,18.18181818,36.36363636
5087,0.346666667,32,12,0.029411765,0.035078711,0.047677855,0.060856401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,25,50,75,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,25,50,58.33333333
5115,0.573333333,237,101,0.267379679,0.124682818,0.329161069,0.136892511,0,0,0,0,0,100,100,100,0,0,0,0,7.920792079,100,100,100,0,26.73267327,43.56435644,44.55445545,44.55445545,76.23762376,90.0990099,95.04950495,0,0,0,0,100,100,100,100,0,26.73267327,43.56435644,44.55445545,44.55445545,82.17821782,90.0990099,95.04950495
5117,0.36,9,4,0.00802139,0.02350481,0.023958503,0.037222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
5121,0.44,28,13,0.032085561,0.044185771,0.067456082,0.060137755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84615385,53.84615385,100,100,0,0,0,0,0,0,0,0,0,0,0,0,53.84615385,53.84615385,61.53846154,100
5125,0.08,198,82,0.21657754,0.007116131,0.08289221,0.056189095,0,0,0,0,0,17.07317073,100,100,0,0,0,0,0,0,0,0,0,0,6.097560976,28.04878049,36.58536585,39.02439024,50,53.65853659,0,0,0,0,0,0,0,93.90243902,0,0,13.41463415,28.04878049,36.58536585,40.24390244,50,53.65853659
5131,0.693333333,398,166,0.441176471,0.123735459,0.80154751,0.111146628,0,0,0,0,58.43373494,100,100,100,0,0,98.19277108,100,100,100,100,100,0,16.86746988,30.72289157,45.18072289,56.02409639,68.07228916,94.57831325,98.19277108,0,100,100,100,100,100,100,100,0,4.819277108,30.72289157,42.77108434,55.42168675,65.06024096,86.74698795,95.18072289
5145,0.466666667,62,29,0.07486631,0.023100417,0.331764774,0.026619473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20.68965517,31.03448276,55.17241379,68.96551724,72.4137931,82.75862069,0,0,0,0,100,100,100,100,0,0,10.34482759,27.5862069,41.37931034,55.17241379,68.96551724,75.86206897
6007,0.706896552,187,78,0.006215635,0.079708043,0.02425485,0.102019157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564102564,15.38461538,21.79487179,16.66666667,29.48717949,50,0,0,0,0,0,0,0,0,0,0,2.564102564,7.692307692,20.51282051,26.92307692,20.51282051,47.43589744
6017,0.068965517,153,61,0.004860945,0.007398254,0.001938153,0.097058304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.557377049,13.1147541,29.50819672,47.54098361,0,0,0,0,0,0,0,0,0,0,0,0,3.278688525,13.1147541,19.67213115,40.98360656
6023,0.637931034,38,16,0.001275002,0.024678417,0.013083619,0.035000884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,25,50,68.75,81.25,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,25,56.25,75
6027,0.431034483,6,2,0.000159375,0.015647483,0.001170623,0.032844899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50
6061,0.051724138,390,154,0.012271894,0.006879603,0.002963859,0.120338773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,4.545454545,6.493506494,6.493506494,9.74025974,11.68831169,15.58441558,24.02597403,0,0,0,0,0,0,0,0,4.545454545,4.545454545,6.493506494,6.493506494,9.74025974,9.74025974,15.58441558,22.07792208
6079,0.189655172,364,156,0.012431269,0.034506533,0.008060696,0.164616013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82051282,16.02564103,25,36.53846154,53.20512821,64.1025641,0,0,0,0,0,0,0,0,0,0,12.82051282,18.58974359,25,35.8974359,53.20512821,64.1025641
6089,0.5,74,30,0.002390629,0.027494957,0.013526774,0.049752911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3.333333333,0,13.33333333,26.66666667,50,66.66666667,0,0,0,0,0,0,0,0,0,0,6.666666667,3.333333333,10,16.66666667,30,53.33333333
6093,0.534482759,12,6,0.000478126,0.024177842,0.003509849,0.040927882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,33.33333333,33.33333333,50,83.33333333,0,0,0,0,0,0,0,0,0,0,0,16.66666667,16.66666667,33.33333333,33.33333333,50
8019,0.078125,2,1,0.003003003,0.012794541,0.001603623,0.021937307,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
8039,0.015625,6,3,0.009009009,0.002861458,0.000756355,0.024531039,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,66.66666667,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,66.66666667,100,100,100,100,100
8047,0.046875,1,0,0,0,0.000468253,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8051,0.34375,5,2,0.006006006,0.063856806,0.013958818,0.024883594,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,50,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,50,100,100,100,100,100,100
8057,0.28125,6,3,0.009009009,1,0.000684855,0.476273148,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100
8065,0.59375,4,2,0.006006006,0.240474621,0.01101215,0.054251813,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100
8067,0.265625,21,8,0.024024024,0.059236674,0.036293636,0.029872416,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,25,75,100,100,100,100,100,100,0,0,0,100,100,100,100,100,25,62.5,100,100,100,100,100,100
8071,0.859375,2,1,0.003003003,0.093095423,0.030177928,0.014510896,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
8075,0.75,3,1,0.003003003,0.053114482,0.040361951,0.009486376,0,0,0,100,100,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100
8077,0.6875,50,19,0.057057057,0.133761783,0.257075215,0.026062014,0,0,52.63157895,100,100,100,100,100,0,0,100,100,100,100,100,100,47.36842105,78.94736842,100,100,100,100,100,100,0,0,100,100,100,100,100,100,47.36842105,73.68421053,100,100,100,100,100,100
